"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Balanza de pagos",,,,,,
"Cuenta corriente",,,,,,
"Unidad de medida: Millones de US dólares.",,,,,,
Fechas,Guatemala,,,,,,,,,
,"Cuenta Corriente","Balance de bienes","Balance de servicios","Balance ingreso primario","Balance ingreso secundario","Cuenta corriente, acumulada","Balance bienes, acumulado","Balance servicios, acumulado","Balance ingreso primario, acumulado","Balance ingreso secundario, acumulado"
2014-II,-415.49,-1679.49,-26.92,-389.46,1680.37,-854.01,-3215.14,56.98,-769.13,3073.28
2014-III,-508.89,-1756.45,8.32,-388.26,1627.50,-1362.91,-4971.59,65.30,-1157.40,4700.78
2014-IV,-546.40,-1810.48,8.84,-359.57,1614.82,-1909.31,-6782.07,74.14,-1516.97,6315.59
2015-I,-30.67,-1343.25,79.11,-317.60,1551.07,-30.67,-1343.25,79.11,-317.60,1551.07
2015-II,1.64,-1410.32,-11.21,-339.63,1762.80,-29.03,-2753.57,67.90,-657.23,3313.87
2015-III,-426.26,-1822.97,8.85,-464.33,1852.19,-455.29,-4576.53,76.75,-1121.56,5166.05
2015-IV,-318.50,-1862.62,3.96,-364.91,1905.07,-773.79,-6439.15,80.71,-1486.47,7071.13
2016-I,465.75,-1216.91,123.49,-303.78,1862.95,465.75,-1216.91,123.49,-303.78,1862.95
2016-II,212.70,-1494.54,34.11,-354.41,2027.54,678.45,-2711.45,157.59,-658.19,3890.49
2016-III,-27.64,-1617.43,23.30,-391.18,1957.68,650.81,-4328.88,180.89,-1049.37,5848.17
2016-IV,-13.54,-1748.18,41.34,-375.91,2069.21,637.27,-6077.06,222.23,-1425.28,7917.38
2017-I,511.30,-1314.00,138.60,-386.90,2073.50,511.30,-1314.00,138.60,-386.90,2073.50
2017-II,634.90,-1451.60,108.60,-315.60,2293.50,1146.20,-2765.60,247.20,-702.50,4367.00
2017-III,126.30,-1826.90,75.60,-340.40,2217.80,1272.50,-4592.50,322.80,-1042.90,6584.80
2017-IV,-415.40,-2199.10,-31.40,-458.30,2273.30,857.10,-6791.60,291.40,-1501.20,8858.10
2018-I,352.50,-1500.70,105.80,-404.80,2152.20,352.50,-1500.70,105.80,-404.80,2152.20
2018-II,231.60,-2050.00,64.50,-364.00,2581.20,584.10,-3550.70,170.30,-768.80,4733.40
2018-III,136.10,-2177.20,64.30,-327.60,2576.50,720.20,-5727.90,234.60,-1096.40,7309.90
2018-IV,-97.90,-2256.80,-69.00,-410.10,2638.00,622.30,-7984.70,165.60,-1506.50,9947.90
2019-I,267.10,-1777.40,56.40,-332.90,2321.10,267.10,-1777.40,56.40,-332.90,2321.10
2019-II,667.90,-1936.10,73.60,-365.50,2896.00,935.00,-3713.50,130.00,-698.40,5217.10
2019-III,617.10,-2074.80,23.10,-321.60,2990.40,1552.10,-5788.30,153.10,-1020.00,8207.50
2019-IV,239.10,-2178.60,-103.70,-391.60,2912.90,1791.20,-7966.90,49.40,-1411.60,11120.40
2020-I,691.47,-1494.28,-57.31,-282.95,2526.02,691.47,-1494.28,-57.31,-282.95,2526.02
2020-II,1061.47,-1227.68,-4.62,-334.66,2628.43,1752.94,-2721.96,-61.93,-617.61,5154.45
2020-III,1434.15,-1566.40,-9.46,-276.47,3286.49,3187.10,-4288.36,-71.40,-894.09,8440.95
2020-IV,750.59,-2008.44,-207.49,-485.37,3451.90,3937.69,-6296.80,-278.89,-1379.46,11892.84
2021-I,865.09,-2017.32,-120.05,-280.42,3282.89,865.09,-2017.32,-120.05,-280.42,3282.89
2021-II,735.59,-2683.97,-216.85,-408.00,4044.42,1600.68,-4701.29,-336.91,-688.42,7327.31
2021-III,668.17,-2856.63,-360.60,-336.89,4222.30,2268.85,-7557.93,-697.51,-1025.31,11549.60
